ticker_yahoo,name
ACS.MC,ACS CONST.
ACX.MC,ACERINOX
AENA.MC,AENA
AMS.MC,AMADEUS IT
ANA.MC,ACCIONA
ANE.MC,ACCIONA ENER
BBVA.MC,BBVA
BKT.MC,BANKINTER
CABK.MC,CAIXABANK
CLNX.MC,CELLNEX
COL.MC,INM.COLONIAL
ELE.MC,ENDESA
ENG.MC,ENAGAS
FDR.MC,FLUIDRA
FER.MC,FERROVIAL SE
GRF.MC,GRIFOLS
IAG.MC,INT.AIRL.GRP
IBE.MC,IBERDROLA
IDR.MC,INDRA A
ITX.MC,INDITEX
LOG.MC,LOGISTA
MAP.MC,MAPFRE
MRL.MC,MERLIN PROP.
MTS.MC,ARCEL.MITTAL
NTGY.MC,NATURGY
PUIG.MC,PUIG BRANDS
RED.MC,REDEIA CORPO
REP.MC,REPSOL
ROVI.MC,LABORAT.ROVI
SAB.MC,B. SABADELL
SAN.MC,SANTANDER
SCYR.MC,SACYR
SLR.MC,SOLARIA
TEF.MC,TELEFONICA
UNI.MC,UNICAJA
